Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Mount Adams|a mountain peak in southwestern Washington in the Cascade Range (12,307 feet high)
Adam's Peak|a mountain peak in south central Sri Lanka (7,360 feet high)
River Adige|a river in northern Italy that flows southeast into the Adriatic Sea; "Verona is on the Adige"
Adirondack Mountains|a mountain range in northeastern New York State; a popular resort area
Admiralty Range|mountains in Antarctica to the north of Victoria Land
Adriatic Sea|an arm of the Mediterranean between Slovenia and Croatia and Montenegro and Albania on the east and Italy on the west
Aegean|an arm of the Mediterranean between Greece and Turkey; a main trade route for the ancient civilizations of Crete and Greece and Rome and Persia
Aegospotami|a creek emptying into the Hellespont in present-day Turkey; at its mouth in 405 BC the Spartan fleet under Lysander defeated the Athenians and ended the Peloponnesian War
Africa|the second largest continent; located to the south of Europe and bordered to the west by the South Atlantic and to the east by the Indian Ocean
River Aire|a river in northern England that flows southeast through West Yorkshire
Alabama River|a river in Alabama formed by the confluence of the Coosa and Tallapoosa Rivers near Montgomery; flows southwestward to become a tributary of the Mobile River
Alaska Peninsula|a peninsula of southwestern Alaska (a continuation of the Aleutian Islands)
Alaska Range|a mountain range in south central Alaska; contains Mount McKinley
Allegheny Mountains|the western part of the Appalachian Mountains; extending from northern Pennsylvania to southwestern Virginia
Allegheny River|a river that rises in Pennsylvania and flows north into New York and then back south through Pennsylvania again to join the Monongahela River at Pittsburgh which is the beginning of the Ohio River
Rigil Kent|brightest star in Centaurus; second nearest star to the sun
Alpha Crucis|the brightest star in the Southern Cross
Alpine type of glacier|a glacier that moves down from a high valley
Altay Mountains|a mountain range in central Asia that extends a thousand miles from Kazakhstan eastward into western Mongolia and northern China
Amazon River|a major South American river; arises in the Andes and flows eastward into the South Atlantic; the world's 2nd longest river (4000 miles)
America|North America and South America and Central America
American Falls|a part of Niagara Falls in western New York (north of Buffalo)
Amur River|an Asian river between China and Russia; flows into the Sea of Okhotsk
Andaman Sea|part of the Bay of Bengal to the west of the Malay Peninsula
Andes|a mountain range in South America running 5000 miles along the Pacific coast
Andromeda|a constellation in the northern hemisphere between Cassiopeia and Pegasus; contains the Andromeda galaxy
Angara River|a river in southeastern Siberia that flows northwest from Lake Baikal to become a tributary of the Yenisei River
Angel Falls|the highest waterfall; has more than one leap; flow varies seasonally
Annapurna|a mountain in the Himalayas in Nepal (26,500 feet high)
Antarctic continent|an extremely cold continent at the south pole almost entirely below the Antarctic Circle; covered by an ice cap up to 13,000 feet deep; "Antarctica is twice the size of Australia"
Antarctic Ocean|the southern waters surrounding Antarctica
Palmer Peninsula|a large peninsula of Antarctica that extends some 1200 miles north toward South America; separates the Weddell Sea from the South Pacific
Antlia|a faint constellation in the southern hemisphere near Hydra and Vela
Apalachicola River|a river in northwestern Florida formed by the confluence of the Chattahoochee River and the Flint River at the Florida border
Apennines|a mountain range extending the length of the Italian peninsula
Apollo asteroid|an asteroid whose orbit crosses the Earth's orbit
Appalachian Mountains|a mountain range in the eastern United States extending from Quebec to the Gulf of Mexico; a historic barrier to early westward expansion of the United States
Apus|a constellation in the polar region of the southern hemisphere near Octans
Aquarius|a zodiacal constellation in the southern hemisphere; between Capricornus and Pisces
Aquila|a constellation in the Milky Way near Cygnus; contains the star Altair
Ara|a constellation in the southern hemisphere near Telescopium and Norma
Arabian Sea|a northwestern arm of the Indian Ocean between India and Arabia
Arafura Sea|a part of the western Pacific Ocean to the north of Australia and to the south of New Guinea and the eastern islands of Indonesia
Araguaia River|a river in central Brazil that flows generally northward (with many falls) to join the Tocantins River
Mount Ararat|the mountain peak that Noah's ark landed on as the waters of the great flood receded
Aras|a river that rises in northeastern Turkey (near the source of the Euphrates) and flows generally eastward through Armenia to the Caspian Sea; ancient name was Araxes
Arauca|a river that rises in northern Colombia and flows generally eastward to the Orinoco in central Venezuela
Arctic Ocean|ice covered waters surrounding the North Pole; mostly covered with solid ice or with ice floes and icebergs
Argo|formerly a large constellation in the southern hemisphere between Canis Major and the Southern Cross; now divided into Carina and Pyxis and Puppis and Vela
Argun River|a river in eastern Asia that arises in China and flows northeast along the border between China and Russia to become a tributary of the Amur River
Aries|a small zodiacal constellation in the northern hemisphere; between Pisces and Taurus
Arkansas River|a river that rises in the Rocky Mountains in Colorado and flows southeast through Kansas and Oklahoma and through Arkansas to become a tributary of the Mississippi River
Arno River|a river in central Italy rising in the Apennines and flowing through Florence and Pisa to the Ligurian Sea
Asia|the largest continent with 60% of the earth's population; it is joined to Europe on the west to form Eurasia; it is the site of some of the world's earliest civilizations
Atacama Trench|a depression in the floor of the Pacific Ocean off the coast of Chile
Atlantic|the 2nd largest ocean; separates North and South America on the west from Europe and Africa on the east
Atlantic Coast|a coast of the Atlantic Ocean
Atlas Mountains|a mountain range in northern Africa between the Mediterranean and the Sahara Desert; extends from southwestern Morocco to northern Tunisia
Auriga|a conspicuous constellation in the northern hemisphere; between Great Bear and Orion at edge of Milky Way
Australia|the smallest continent; between the South Pacific and the Indian Ocean
Australian Alps|a range of mountains in Australia that forms the southern end of the Great Dividing Range
River Avon|a river in central England that flows through Stratford-on-Avon and empties into the Severn
River Avon|a river in southwestern England rising in Gloucestershire and flowing through Bristol to empty into the estuary of the Severn
Baffin Bay|a body of water between Greenland and northeastern Canada; connected with the Arctic Ocean to the north and with the Atlantic Ocean (via the Labrador Sea) to the south; icebound in winter
Lake Balaton|a large shallow lake in western Hungary
Balkan Mountains|the major mountain range of Bulgaria and the Balkan Peninsula
Baltic Sea|a sea in northern Europe; stronghold of the Russian navy
Barents Sea|the part of the Arctic Ocean to the north of Norway and Russia
Bay of Bengal|an arm of the Indian Ocean to the east of India
Bay of Biscay|an arm of the Atlantic Ocean in western Europe; bordered by the west coast of France and the north coast of Spain
Bay of Fundy|a bay of the North Atlantic between New Brunswick and Nova Scotia; noted for rapid tides as great as 70 feet
Bay of Naples|an arm of the Tyrrhenian Sea at Naples
Beaufort Sea|part of the Arctic Ocean to the northeast of Alaska
Bering Sea|part of the North Pacific between Alaska and Siberia; connected to the Arctic Ocean by the Bering Strait
Bering Strait|a strait connecting the Bering Sea to the Arctic Ocean
Berkshire Hills|a low mountain range in western Massachusetts; a resort area
Beta Centauri|the second brightest star in Centaurus
Beta Crucis|the second brightest star in the Southern Cross
Alpha Orionis|the second brightest star in Orion
Big Dipper|a group of seven bright stars in the constellation Ursa Major
Bighorn River|a river that flows from central Wyoming to the Yellowstone River in southern Montana
Bight of Benin|a broad indentation of the Gulf of Guinea in western Africa
Big Sioux River|a river that rises in northeastern South Dakota and flows southward to join the Missouri River at Sioux City, Iowa
Biscayne Bay|a narrow bay formed by an inlet from the Atlantic Ocean in southeastern Florida
Bismarck Sea|an arm of the South Pacific to the southwest of the Bismarck Archipelago
Black Forest|a hilly forest region in southwestern Germany
Black Hills|mountains in southwestern South Dakota and northeastern Wyoming; sacred to the Sioux (whites settling in the Black Hills led to the Battle of Little Bighorn); site of Mount Rushmore
Euxine Sea|a sea between Europe and Asia; a popular resort area of eastern Europeans
Blue Nile|a headstream of the Nile; joins the White Nile at Khartoum to form the Nile
Blue Ridge|a range of the Appalachians extending from southern Pennsylvania to northern Georgia
Po Hai|an inlet of the Yellow Sea, on the coast of Eastern China
Bootes|a constellation in the northern hemisphere near Ursa Major
Bosporus|a strait connecting the Mediterranean and the Black Sea; separates the European and Asian parts of Turkey; an important shipping route
Bougainville Trench|a depression in the floor of the Pacific Ocean between New Guinea and the Solomon Islands
Brahmaputra River|an Asian river; flows into the Bay of Bengal
Brazos River|a river that rises in Mexico and flows across Texas into the Gulf of Mexico
Brenner Pass|an Alpine mountain pass connecting Innsbruck in Austria with Bolzano in Italy that has long been a route for trade and for invasions
Bristol Channel|an inlet of the Atlantic Ocean between southern Wales and southwestern England
Buzzards Bay|an inlet of the Atlantic Ocean in southeastern Massachusetts
Caelum|a constellation in the southern hemisphere near Columba and Eridanus
Galilean satellite|the second largest of Jupiter's satellites
Caloosahatchee River|a river in southern Florida that flows westerly to the Gulf of Mexico; forms the western end of the Cross-Florida Waterway
River Cam|a river in east central England that flows past Cambridge to join the Ouse River
Cambrian Mountains|a rugged plateau that runs north to south through central Wales
Canadian River|a river rising in northeastern New Mexico and flowing eastward across the Texas panhandle to become a tributary of the Arkansas River in Oklahoma
Horseshoe Falls|a part of Niagara Falls in Ontario
